original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name_authorship,aligned_reason,update_reason,number_of_collapsed_taxa
Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus,species,APC,accepted,DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus gongylocarpa,Eucalyptus gongylocarpa,Eucalyptus gongylocarpa,Eucalyptus gongylocarpa,Eucalyptus,species,APC,accepted,Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus goniocalyx,Eucalyptus goniocalyx,Eucalyptus goniocalyx,Eucalyptus goniocalyx,Eucalyptus,species,APC,accepted,F.Muell. ex Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus gracilis,Eucalyptus gracilis,Eucalyptus gracilis,Eucalyptus gracilis,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis,Eucalyptus,species,APC,accepted,W.Hill,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus griffithsii,Eucalyptus griffithsii,Eucalyptus griffithsii,Eucalyptus griffithsii,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus gummifera,Eucalyptus gummifera,Corymbia gummifera,Corymbia gummifera,Corymbia,species,APC,accepted,(Gaertn.) K.D.Hill & L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Eucalyptus haemastoma,Eucalyptus haemastoma,Eucalyptus haemastoma,Eucalyptus haemastoma,Eucalyptus,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus hemiphloia,Eucalyptus hemiphloia,Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus,species,APC,accepted,Roxb.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Eucalyptus houseana,Eucalyptus houseana,Eucalyptus houseana,Eucalyptus houseana,Eucalyptus,species,APC,accepted,W.Fitzg. ex Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus howittiana,Eucalyptus howittiana,Eucalyptus howittiana,Eucalyptus howittiana,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus,species,APC,accepted,Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus intermedia,Eucalyptus intermedia,Corymbia intermedia,Corymbia intermedia,Corymbia,species,APC,accepted,(R.T.Baker) K.D.Hill & L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),basionym,NA
Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus,species,APC,accepted,R.T.Baker,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus jacksonii,Eucalyptus jacksonii,Eucalyptus jacksonii,Eucalyptus jacksonii,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus jensenii,Eucalyptus jensenii,Eucalyptus jensenii,Eucalyptus jensenii,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus jutsonii,Eucalyptus jutsonii,Eucalyptus jutsonii,Eucalyptus jutsonii,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus largiflorens,Eucalyptus largiflorens,Eucalyptus largiflorens,Eucalyptus largiflorens,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus lehmannii,Eucalyptus lehmannii,Eucalyptus lehmannii,Eucalyptus lehmannii,Eucalyptus,species,APC,accepted,(Schauer) Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus leptocalyx,Eucalyptus leptocalyx,Eucalyptus leptocalyx,Eucalyptus leptocalyx,Eucalyptus,species,APC,accepted,Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus leptophleba,Eucalyptus leptophleba,Eucalyptus leptophleba,Eucalyptus leptophleba,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus leptopoda,Eucalyptus leptopoda,Eucalyptus leptopoda,Eucalyptus leptopoda,Eucalyptus,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus lesouefi,Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus,species,APC,accepted,Maiden,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus lesouefii,Eucalyptus,species,APC,accepted,Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus leucoxylon,Eucalyptus leucoxylon,Eucalyptus leucoxylon,Eucalyptus leucoxylon,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus,species,APC,accepted,Link,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus loxophleba,Eucalyptus loxophleba,Eucalyptus loxophleba,Eucalyptus loxophleba,Eucalyptus,species,APC,accepted,Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus macarthuri,Eucalyptus macarthuri,Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus,species,APC,accepted,H.Deane & Maiden,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),orthographic variant,NA
Eucalyptus macrandra,Eucalyptus macrandra,Eucalyptus macrandra,Eucalyptus macrandra,Eucalyptus,species,APC,accepted,F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus,species,APC,accepted,F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus maculata,Eucalyptus maculata,Corymbia maculata,Corymbia maculata,Corymbia,species,APC,accepted,(Hook.) K.D.Hill & L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Eucalyptus major,Eucalyptus major,Eucalyptus major,Eucalyptus major,Eucalyptus,species,APC,accepted,(Maiden) Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus mannifera maculosa,Eucalyptus mannifera subsp. maculosa,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera,Eucalyptus,subspecies,APC,accepted,NA,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Eucalyptus mannifera subsp. maculosa,Eucalyptus mannifera subsp. maculosa,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera,Eucalyptus,subspecies,APC,accepted,NA,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Eucalyptus marginata,Eucalyptus marginata,Eucalyptus marginata,Eucalyptus marginata,Eucalyptus,species,APC,accepted,Donn ex Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus melanophloia,Eucalyptus melanophloia,Eucalyptus melanophloia,Eucalyptus melanophloia,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus,species,APC,accepted,A.Cunn. ex Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus,species,APC,accepted,(Maiden) Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,Eucalyptus,species,APC,accepted,Maiden & Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus microtheca,Eucalyptus microtheca,Eucalyptus microtheca,Eucalyptus microtheca [alternative possible names: Eucalyptus coolabah (pro parte misapplied)],Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eucalyptus miniata,Eucalyptus miniata,Eucalyptus miniata,Eucalyptus miniata,Eucalyptus,species,APC,accepted,A.Cunn. ex Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus,species,APC,accepted,Roxb.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus,species,APC,accepted,A.W.Howitt,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus nigra,Eucalyptus nigra,Eucalyptus eugenioides,Eucalyptus eugenioides,Eucalyptus,species,APC,accepted,Sieber ex Spreng.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Eucalyptus niphophila,Eucalyptus niphophila,Eucalyptus pauciflora subsp. niphophila,Eucalyptus pauciflora subsp. niphophila,Eucalyptus,species,APC,accepted,(Maiden & Blakely) L.A.S.Johnson & Blaxell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Eucalyptus nitens,Eucalyptus nitens,Eucalyptus nitens,Eucalyptus nitens,Eucalyptus,species,APC,accepted,(H.Deane & Maiden) Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus nitida,Eucalyptus nitida,Eucalyptus nitida,Eucalyptus nitida,Eucalyptus,species,APC,accepted,Hook.f.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus normantonensis,Eucalyptus normantonensis,Eucalyptus normantonensis,Eucalyptus normantonensis,Eucalyptus,species,APC,accepted,Maiden & Cambage,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus,species,APC,accepted,L'Hér.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus oblonga,Eucalyptus oblonga,Eucalyptus globoidea,Eucalyptus globoidea [alternative possible names: Eucalyptus sparsifolia (pro parte taxonomic synonym)],Eucalyptus,species,APC,accepted,Blakely,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,1
Eucalyptus obtusiflora,Eucalyptus obtusiflora,Eucalyptus obtusiflora,Eucalyptus obtusiflora,Eucalyptus,species,APC,accepted,DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus,species,APC,accepted,Endl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus occidentalis x Eucalyptus rudis,Eucalyptus x [Eucalyptus occidentalis x Eucalyptus rudis],NA,Eucalyptus x [Eucalyptus occidentalis x Eucalyptus rudis],Eucalyptus,genus,APC,genus accepted,NA,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2023-09-04),NA,NA
Eucalyptus occidentalis x Eucalyptus utilis,Eucalyptus x [Eucalyptus occidentalis x Eucalyptus utilis],NA,Eucalyptus x [Eucalyptus occidentalis x Eucalyptus utilis],Eucalyptus,genus,APC,genus accepted,NA,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2023-09-04),NA,NA
Eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus odontocarpa,Eucalyptus odontocarpa,Eucalyptus odontocarpa,Eucalyptus odontocarpa,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus odorata,Eucalyptus odorata,Eucalyptus odorata,Eucalyptus odorata [alternative possible names: Eucalyptus cajuputea (pro parte misapplied)],Eucalyptus,species,APC,accepted,Behr,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eucalyptus oldfieldii,Eucalyptus oldfieldii,Eucalyptus oldfieldii,Eucalyptus oldfieldii,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus oleosa,Eucalyptus oleosa,Eucalyptus oleosa,Eucalyptus oleosa,Eucalyptus,species,APC,accepted,F.Muell. ex Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus oligantha,Eucalyptus oligantha,Eucalyptus oligantha,Eucalyptus oligantha,Eucalyptus,species,APC,accepted,Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus orgadophila,Eucalyptus orgadophila,Eucalyptus orgadophila,Eucalyptus orgadophila,Eucalyptus,species,APC,accepted,Maiden & Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus ovata,Eucalyptus ovata,Eucalyptus ovata,Eucalyptus ovata,Eucalyptus,species,APC,accepted,Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pachyphylla,Eucalyptus pachyphylla,Eucalyptus pachyphylla,Eucalyptus pachyphylla,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus panda,Eucalyptus panda,Eucalyptus panda,Eucalyptus panda,Eucalyptus,species,APC,accepted,S.T.Blake,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus paniculata,Eucalyptus paniculata,Eucalyptus paniculata,Eucalyptus paniculata,Eucalyptus,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus papuana,Eucalyptus papuana,Corymbia papuana,Corymbia papuana [alternative possible names: Corymbia dallachiana (pro parte misapplied)],Corymbia,species,APC,accepted,(F.Muell.) K.D.Hill & L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,1
Eucalyptus pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora,Eucalyptus,species,APC,accepted,Sieber ex Spreng.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pauciflora subsp. niphophila,Eucalyptus pauciflora subsp. niphophila,Eucalyptus pauciflora subsp. niphophila,Eucalyptus pauciflora subsp. niphophila,Eucalyptus,subspecies,APC,accepted,(Maiden & Blakely) L.A.S.Johnson & Blaxell,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus phoenicea,Eucalyptus phoenicea,Eucalyptus phoenicea,Eucalyptus phoenicea,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pileata,Eucalyptus pileata,Eucalyptus pileata,Eucalyptus pileata [alternative possible names: Eucalyptus cyanophylla (pro parte misapplied) | Eucalyptus cyanophylla (misapplied)],Eucalyptus,species,APC,accepted,Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eucalyptus pilularis,Eucalyptus pilularis,Eucalyptus pilularis,Eucalyptus pilularis,Eucalyptus,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus piperita,Eucalyptus piperita,Eucalyptus piperita,Eucalyptus piperita,Eucalyptus,species,APC,accepted,J.White,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus planchoniana,Eucalyptus planchoniana,Eucalyptus planchoniana,Eucalyptus planchoniana,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus platypus,Eucalyptus platypus,Eucalyptus platypus,Eucalyptus platypus,Eucalyptus,species,APC,accepted,Hook.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus platypus var. heterophylla,Eucalyptus platypus var. heterophylla,Eucalyptus utilis,Eucalyptus utilis,Eucalyptus,variety,APC,accepted,Brooker & Hopper,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),misapplied,NA
Eucalyptus polyanthemos,Eucalyptus polyanthemos,Eucalyptus polyanthemos,Eucalyptus polyanthemos,Eucalyptus,species,APC,accepted,Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus populnea,Eucalyptus populnea,Eucalyptus populnea,Eucalyptus populnea,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus porosa,Eucalyptus porosa,Eucalyptus porosa,Eucalyptus porosa,Eucalyptus,species,APC,accepted,F.Muell. ex Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus,species,APC,accepted,H.Deane & Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pruinosa,Eucalyptus pruinosa,Eucalyptus pruinosa,Eucalyptus pruinosa,Eucalyptus,species,APC,accepted,Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pseudoglobulus,Eucalyptus pseudoglobulus,Eucalyptus globulus subsp. pseudoglobulus,Eucalyptus globulus subsp. pseudoglobulus,Eucalyptus,species,APC,accepted,(Naudin) J.B.Kirkp.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Eucalyptus pulchella,Eucalyptus pulchella,Eucalyptus pulchella,Eucalyptus pulchella,Eucalyptus,species,APC,accepted,Desf.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus,species,APC,accepted,Sims,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus punctata,Eucalyptus punctata,Eucalyptus punctata,Eucalyptus punctata,Eucalyptus,species,APC,accepted,DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus,species,APC,accepted,Turcz.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus pyrophora,Eucalyptus pyrophora,Corymbia terminalis,Corymbia terminalis,Corymbia,species,APC,accepted,(F.Muell.) K.D.Hill & L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
Eucalyptus racemosa,Eucalyptus racemosa,Eucalyptus racemosa,Eucalyptus racemosa,Eucalyptus,species,APC,accepted,Cav.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus radiata,Eucalyptus radiata,Eucalyptus radiata,Eucalyptus radiata,Eucalyptus,species,APC,accepted,Sieber ex DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata subsp. robertsonii,Eucalyptus,subspecies,APC,accepted,(Blakely) L.A.S.Johnson & Blaxell,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus raveretiana,Eucalyptus raveretiana,Eucalyptus raveretiana,Eucalyptus raveretiana,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus redunca,Eucalyptus redunca,Eucalyptus redunca,Eucalyptus redunca [alternative possible names: Eucalyptus wandoo subsp. wandoo (pro parte taxonomic synonym)],Eucalyptus,species,APC,accepted,Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,1
Eucalyptus regnans,Eucalyptus regnans,Eucalyptus regnans,Eucalyptus regnans,Eucalyptus,species,APC,accepted,F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus resinifera,Eucalyptus resinifera,Eucalyptus resinifera,Eucalyptus resinifera,Eucalyptus,species,APC,accepted,J.White,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus robertsonii,Eucalyptus robertsonii,Eucalyptus radiata subsp. robertsonii,Eucalyptus radiata subsp. robertsonii,Eucalyptus,species,APC,accepted,(Blakely) L.A.S.Johnson & Blaxell,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),nomenclatural synonym,NA
Eucalyptus robusta,Eucalyptus robusta,Eucalyptus robusta,Eucalyptus robusta,Eucalyptus,species,APC,accepted,Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus robusta x Eucalyptus resinifera,Eucalyptus x [Eucalyptus robusta x Eucalyptus resinifera],NA,Eucalyptus x [Eucalyptus robusta x Eucalyptus resinifera],Eucalyptus,genus,APC,genus accepted,NA,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2023-09-04),NA,NA
Eucalyptus rodwayi,Eucalyptus rodwayi,Eucalyptus rodwayi,Eucalyptus rodwayi,Eucalyptus,species,APC,accepted,R.T.Baker & H.G.Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus rossii,Eucalyptus rossii,Eucalyptus rossii,Eucalyptus rossii,Eucalyptus,species,APC,accepted,R.T.Baker & H.G.Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-04),aligned name accepted by APC,NA
Eucalyptus rostrata,Eucalyptus rostrata,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus,species,APC,accepted,NA,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-04),taxonomic synonym,NA
