updated_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,avg_maturity_primary_score,avg_maturity_secondary_score,bin_maturity_primary_score,min_maturity_primary_score,min_maturity_secondary_score,score_GM
Verticordia acerosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Verticordia picta,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Verticordia serrata,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Viminaria juncea,FALSE,TRUE,NA,NA,1--5,1.763566,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Wahlenbergia ceracea,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Wahlenbergia gloriosa,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Xanthorrhoea,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Xanthorrhoea australis,TRUE,TRUE,NA,1,5--20,1,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Xanthorrhoea johnsonii,TRUE,FALSE,NA,NA,5--20,2,NA,0.2,1,NA,NA,1,0.2,NA,0.447213595
Xanthorrhoea minor,TRUE,NA,NA,NA,5--20,NA,0.736434109,0.2,NA,NA,NA,1,NA,0.2,0.341995189
Xanthorrhoea preissii,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Xerochrysum subundulatum,TRUE,TRUE,NA,1,0--1,NA,NA,0.2,0.2,NA,0.2,0.2,NA,NA,0.2
